id,name,brand,category,parent,group,tags,price,description
1,GG Monogram Silk Shirt,Gucci,Button-up Shirt,Shirts,Men's Fashion,"Luxury, Statement Piece",180.0,"Taking inspiration from founder Guccio Gucci's monogram, the GG motif continues to be a firm favorite of the House. This relaxed shirt has been made from a silk twill with an allover GG print."
2,Tailored Poplin Shirt,Zara,Dress Shirt,Shirts,Women's Fashion,"Modern Workwear, Business Casual",90.0,Oversized shirt with a lapel collar. Long batwing sleeves finished with cuffs and dropped shoulders. Patch pocket on the front. Front button closure.
3,Relaxed Fit Graphic Tee,H&M,T-shirt,Shirts,Kid's Fashion,"Casual, Kids Everyday",30.0,"A fun and comfy tee for everyday play. This relaxed-fit T-shirt is made from soft organic cotton and features a cool graphic print, perfect for active kids."
4,AIRism Organic Cotton Tee,Uniqlo,T-shirt,Shirts,Women's Fashion,"Core Essential, Sustainable",40.0,Experience incredible comfort with our AIRism technology. This soft tee wicks moisture to keep you feeling fresh and dry. A perfect minimalist staple for any modern wardrobe.
5,Embroidered Linen Kurta,Routine,Kurta,Shirts,Men's Fashion,"Cultural, Festive Wear",70.0,"Embrace cultural elegance with this beautifully embroidered kurta. Crafted from a breathable linen-cotton blend, it's perfect for festive occasions and smart-casual gatherings."
6,GG Crest Tailored Trousers,Gucci,Dress Pants,Pants,Men's Fashion,"Luxury, Statement Piece",190.0,"Impeccably tailored from fine wool, these trousers feature the iconic Gucci crest. A luxurious foundation for any formal or statement-making ensemble."
7,High-Waisted Flared Jeans,Zara,Jeans,Pants,Women's Fashion,"Retro/Heritage Style, Vintage",100.0,"High-waisted, five-pocket jeans. Flared leg design. Front zipper and metal button closure. The flared silhouette creates an on-trend, leg-lengthening effect."
8,Kids Elastic Waist Shorts,H&M,Shorts,Pants,Kid's Fashion,"Casual, Kids Everyday",25.0,"Perfect for playdates and everyday fun. These comfy cotton shorts feature a flexible elastic waist, ensuring a snug and comfortable fit for active kids all day long."
9,Smart Stretch Chinos,Uniqlo,Chinos,Pants,Men's Fashion,"Modern Workwear, Business Casual",80.0,"The perfect blend of comfort and style for the modern professional. These smart chinos are made with stretch polyester for all-day flexibility and a sharp, tailored look."
10,Kids Elastic Cotton Shorts,Routine,Shorts,Pants,Kid's Fashion,"Casual, Kids Everyday",35.0,"Designed for ultimate comfort and movement, these shorts are made from a soft cotton-spandex blend. The elastic waistband ensures a perfect fit for endless hours of play."
11,Double-G Leather Bomber,Gucci,Bomber Jacket,Outerwear,Men's Fashion,"Statement Piece, Luxury",204.0,"A bold statement in luxury outerwear. This bomber jacket is crafted from supple leather and features the iconic Double-G emblem, defining modern, high-end style."
12,Recycled Denim Jacket,H&M,Denim Jacket,Outerwear,Women's Fashion,"Core Essential, Sustainable",75.0,"A timeless classic with a sustainable twist. This denim jacket is made from recycled cotton, offering a cool, versatile layer that's kind to the planet."
13,Kids Puffer Jacket,Uniqlo,Puffer Jacket,Outerwear,Kid's Fashion,"Weather-Ready, Seasonal",60.0,"Keep your little one warm and cozy during colder months. This lightweight puffer jacket provides excellent insulation without the bulk, perfect for seasonal adventures."
14,Water-Resistant Parka,Zara,Parka,Outerwear,Men's Fashion,"Seasonal, Weather-Ready",120.0,Parka with a high collar and adjustable hood. Long sleeves with elastic cuffs. Front zipper closure hidden by a snap-button placket. Water-resistant fabric for protection.
15,Ultraboost 25,Adidas,Sneakers,Shoes,Men's Fashion,"Athleisure, Performance",150.0,Unleash your potential with the Ultraboost 25. Engineered with a responsive Boost midsole and a lightweight mesh upper for ultimate energy return and all-day comfort.
16,Air Max 270,Nike,Sneakers,Shoes,Women's Fashion,"Athleisure, Lifestyle",130.0,"Step up your style with the iconic Air Max 270. Featuring Nike's largest-ever Air unit for visible cushioning and a sleek design, it's the perfect blend of comfort and street-ready fashion."
17,Kids Active Sneakers,Biti’s,Sneakers,Shoes,Kid's Fashion,"Kids Everyday, Casual",40.0,"Designed for little feet on the go. These active sneakers provide durable support and a comfortable fit, making them the perfect companion for school, sports, and playtime."
18,Classic Leather Sneakers,Puma,Sneakers,Shoes,Men's Fashion,"Everyday Essential, Casual",80.0,"Timeless style meets everyday comfort. These classic sneakers are crafted from premium leather, offering a clean, minimalist look that pairs perfectly with any casual outfit."
19,Stan Smith Eco Sneakers,Adidas,Sneakers,Shoes,Women's Fashion,"Core Essential, Sustainable",100.0,"An icon, reimagined for a better future. The Stan Smith Eco features a sustainable canvas upper while retaining its timeless, minimalist design. Style that feels good."
20,Recycled Cotton Skater Dress,H&M,Dress,Dresses,Women's Fashion,"Sustainable, Core Essential",45.0,"A fun and flirty staple made with the planet in mind. This skater dress, crafted from recycled cotton, features a flattering fit-and-flare silhouette for effortless style."
21,Sequin Embroidered Blouse,Zara,Blouse,Shirts,Women's Fashion,"Luxury, Statement Piece",110.0,Make a dazzling entrance with this sequin embroidered blouse. Its intricate detailing and luxurious feel make it the perfect statement top for parties and special events.
22,Kids Cartoon Print Tee,H&M,T-shirt,Shirts,Kid's Fashion,"Casual, Kids Everyday",30.0,"Bring a smile to their face with this playful cartoon print tee. Made from soft, breathable cotton, it's designed for all-day comfort and fun-filled adventures."
23,Cotton Linen Blend Shirt,Uniqlo,Button-up Shirt,Shirts,Men's Fashion,"Modern Workwear, Business Casual",70.0,"Stay cool and look sharp. This shirt is crafted from a breathable cotton-linen blend, offering a relaxed yet refined look for business casual settings or warm-weather events."
24,Organic Cotton Polo,Routine,Polo Shirt,Shirts,Men's Fashion,"Casual, Everyday Essential",45.0,"A classic staple, consciously made. Our organic cotton polo shirt offers a soft feel and a timeless fit, perfect for smart-casual occasions and effortless weekend style."
25,Logo Print Polo Shirt,Gucci,Polo Shirt,Shirts,Men's Fashion,"Luxury, Statement Piece",160.0,"Elevate your casual look with this Gucci polo shirt. Crafted from premium cotton and featuring a subtle logo print, it combines classic style with a touch of luxury."
26,Slim Fit Oxford Shirt,Zara,Button-up Shirt,Shirts,Men's Fashion,"Business Casual, Modern Workwear",85.0,"A cornerstone of the modern man's wardrobe. This slim-fit Oxford shirt provides a sharp, tailored silhouette that's perfect for both the office and casual outings."
27,Kids Printed T-shirt,Routine,T-shirt,Shirts,Kid's Fashion,"Kids Everyday, Casual",28.0,"A fun and comfortable tee for your little one's everyday wardrobe. Made from soft cotton with a vibrant print, it’s perfect for school, play, and everything in between."
28,AIRism Active Polo,Uniqlo,Polo Shirt,Shirts,Men's Fashion,"Athleisure, Performance",55.0,"Engineered for performance and style. The AIRism Active Polo wicks moisture to keep you dry and comfortable, whether you're on the golf course or enjoying an active day out."
29,Performance Running Skirt,Nike,Skirt,Dresses,Women's Fashion,"Performance, Athleisure",65.0,"Move freely and confidently with the Nike Performance Running Skirt. Its lightweight, sweat-wicking fabric and built-in shorts provide comfort and coverage on every run."
30,Active Performance Track Pants,Coolmate,Track Pants,Pants,Men's Fashion,"Lifestyle, Athleisure",50.0,"Designed for both workouts and weekend lounging. These track pants are crafted from a lightweight, flexible material for optimal comfort and a sleek, athletic look."
31,Pleated Wide-Leg Trousers,Gucci,Wide-Leg Pants,Pants,Women's Fashion,"Luxury, Statement Piece",185.0,"Exude effortless sophistication with these pleated, wide-leg trousers. Crafted from luxurious silk, they offer a fluid, flowing silhouette for a high-fashion statement."
32,Classic Denim Jeans,Zara,Jeans,Pants,Men's Fashion,"Casual, Everyday Essential",95.0,"The ultimate wardrobe staple. These classic denim jeans offer a versatile, timeless fit that can be dressed up or down for any occasion. A must-have for every man."
33,Kids Corduroy Pants,H&M,Corduroy Pants,Pants,Kid's Fashion,"Kids Everyday, Casual",38.0,"A cozy and stylish choice for cooler weather. These corduroy pants are soft, durable, and feature a classic texture that adds a touch of retro charm to any kid's outfit."
34,Smart Ankle Pants,Uniqlo,Dress Pants,Pants,Women's Fashion,"Modern Workwear, Business Casual",70.0,"Achieve a polished, modern look with these smart ankle pants. Their tailored fit and cropped length make them a versatile choice for the office or a chic, casual day."
35,Kids Fleece Joggers,Routine,Joggers,Pants,Kid's Fashion,"Kids Everyday, Casual",32.0,"Keep them warm and comfortable with these soft fleece joggers. Perfect for lounging at home or for active play on chilly days, with a relaxed fit for easy movement."
36,Tailored Wool Dress Pants,Zara,Dress Pants,Pants,Men's Fashion,"Modern Workwear, Business Casual",110.0,"Sharpen your professional wardrobe with these tailored dress pants. Made from premium wool, they offer a sophisticated drape and a classic fit for timeless business style."
37,Recycled Wool Coat,H&M,Wool Coat,Outerwear,Women's Fashion,"Core Essential, Sustainable",130.0,"Stay warm with a clear conscience. This elegant coat is crafted from recycled wool, offering luxurious warmth and a timeless design that's both stylish and sustainable."
38,Kids Raincoat,Uniqlo,Raincoat,Outerwear,Kid's Fashion,"Weather-Ready, Seasonal",45.0,Brighten up rainy days with this cheerful and practical raincoat. Its water-resistant material and fun colors will keep your child dry and happy during wet weather.
39,Monogrammed Wool Trousers,Gucci,Dress Pants,Pants,Men's Fashion,"Statement Piece, Luxury",195.0,"A testament to luxury craftsmanship. These wool trousers are detailed with a subtle monogram pattern, offering a sophisticated and exclusive touch to your formalwear."
